label;text
joy;found pass last two exam margin three mark
fear;father ill wait result test
anger;got caught pour rain last thursdai not raincoat me
sadness;fail exam
shame;not prepar contribut group thoroughli member result overal result poor
guilt;father work hous recov ill rather lazi meant work hard not veri well later
joy;gave birth son saw aliv manag well born month earli malfunct lung happen year ago
fear;found father lung cancer not know long would live
anger;colleagu ask help work despit fact time had
sadness;not get salari increas expect understood littl on s work appreci
disgust;weed garden found lizard hand
shame;met friend not seen long time heard troubl thought should got touch earlier
guilt;got angri mother someth trivial bad mood father veri ill knew mother realli need support react wrongli
joy;new year s ev met girlfriend stood step outsid parent home kiss first time
fear;stop plain cloth policemen car drive overturn avenu drive fast afraid stop question toild go situat end happili sinc consequ
anger;editor chang head articl written consid head derogatori toward person written about
sadness;close acquaint famili di lung cancer although expect still felt depress
disgust;saw pictur gothenburg post total demolish car two fatal injur passeng car badli damag couldn t get bodi scene accid
shame;on night sexual intercours anoth man sexual desir curios made jump bed him asham now
guilt;due lazi fail term studi complet univers also want extent protest parent expect
joy;got loan studi
fear;met intox peopl dubiou intent back allei on wednesdai night
anger;t v saw new featur south africa policeman attack group black peopl whip
sadness;thought read bore book page english
disgust;grovel peopl
shame;inabl assert posit group
guilt;experi feel guilt not studi enough
disgust;observ someon cafeteria noisili gulp food extrem bad manner
shame;guess often asham talk badli peopl
guilt;angri unpleas toward parent
joy;sister histori on abort on stillbirth gave birth perfectli healti boi
fear;sister still born child emotion veri deep down took long time recov
anger;start student project teacher talk veri neg not veri help
sadness;boyfriend openli let down prefer anoth girl
disgust;felt disgust boyfriend time left me
shame;can t think ani
guilt;accid aunt offer front seat car next driver declin took seat kill car crash
joy;unexpect visit close friend hadn t seen half year
fear;wander mistak safeti zone shoot rang shot at
anger;treat unfairli
sadness;break girl
disgust;noth
shame;none
guilt;littl contact father di
joy;accept student colleg not thought possibl
fear;first arriv scene accid found close school friend kill
anger;accus done someth hadn t got veri angri
sadness;grandmoth di
disgust;not applic
joy;coupl year ago summer holidai fish lake husband suddenli start rain sun still shine experienc feel joi happi fulfil whole natur full music
fear;alon home bed read women magazin storie paranorm experi leg itch stretch hand scratch felt anoth strang hand later realiz corner blanket
anger;went lectur cancel second time on neg attitud toward lectur
sadness;heard former superior mine di later home home read newspap thought interact longer possibl limit scope human life sad
disgust;tram fat sickli look woman front ask direct thick voic got disgust smell urin came her felt would choke
shame;home husband made remark someth done perfectli friendli manner deed unjust knew husband right therefor sens shame
guilt;made remark sister concern attitud men wai talk compar acquaint mine later even sister look sad felt guilti sad
joy;summer job sweden boyfriend came meet birthdai
fear;went practic sweden summer afraid would not well
anger;holidai cottag associ two pal came wake earli on morn bring radio plai highest volum room morn servic loudest
sadness;grandmoth di suddenli last summer
disgust;superior summer job swindl custom much could put difficult situat could not detest him
shame;arriv two hour late work place bank still feel feebl tire
guilt;associ polish visitor go back boat not see chairman associ
joy;told quit unexpectedli on want becom vice chairman student organis realli surpris joi first emot felt though behind worri shall succe
fear;tutori group soon divid got list name freshmen five group read name group went wai seminar room wonder would cope new situat would succe group leader
anger;disco even not pleasant despit not know why angri companion let feel bad humour cannot hide feel
sadness;grandmoth di mother call on sundai morn autumn wai mother told it hate moment sound wait death grandmoth lost person close me felt guilti bad grandmoth late not remain calm longer understood everyth well
disgust;underground station drunkard came speak me tri ask someth not answer began speak companion detest dirti growl man
shame;worri task relat studi done group two talk friend said someth neg abrupt manner concern work partner not quit mean said felt asham mean enough critic also friend mine
guilt;told boyfriend not want relationship knew import want free saw difficult remain firm not chang mind
joy;last night chat fellow student known half year first time speak the languag mean inspir discuss encount
anger;sometim quarrel mother blame me though not wai connect event
sadness;hear death grandfath first could not believ it later wept felt situat hopeless felt lone want consol
disgust;even watch tv littl brother came start eat food brought kitchen try concentr program
shame;littl brother arrest polic railwai station drunk beer
guilt;temporari job restrict other action make obei me veri often give feel guilt wish could wai act
joy;met dear friend mine long time express feel usual wai mutual scold abus with complet understand touch pat take hand person etc
fear;felt fear purest kind car accid incid imag horror kept come back mind wonder could happen sister friend me though noth veri seriou actual happen
anger;two boi know tell me indec manner teas young shy girl know despis convict scorn touch her got veri angri not try conceal gave back them
sadness;sweetheart left me rather decid break mutual consent consequ unrestrain weep feel loneli hopeless disconsol felt should find friend talk joyfulli forget
disgust;sheer curios went see pornograph movi copenhagen room full men pant masturb veri disgust
shame;quarel unnecessarili without reason stupidli cross everi wai
guilt;forc fill questionnair
joy;tenni match
fear;dog ran thin ic last spring
anger;tenni match interrupt kid cycl right court
joy;celebr graduat dai orchestra plai garden part orchestra
fear;risk involv fight parti
anger;veri heavi work load two colleagu noth against disturb terror ring i e contin interrupt telephon
sadness;exam fail
shame;overtook car mainroad misjudg distanc oncom car result toot flash driver we could collid acquaint car me
guilt;saw neighbour appart block me ly road could injur ill kept metr awai not help him
joy;met old schhol friend school love
fear;cycl school nearli got knock car overtook close not give swerv space
anger;deputi manag summer certain deputi took liberti normal
sadness;realiz girlfriend like go separ
disgust;dog dirt thaw spring
shame;forgot mother s birthdai
guilt;not think anyth now
joy;pass last exam
fear;nearli knock car
anger;reach bu stop realiz forgotten bu pass
sadness;current work load much feel come back time time
joy;on year old son give spontan kiss
fear;someon close travel car delai
anger;someon someth wrong affect neg
sadness;think parent get old
guilt;not time peopl s problem mother in law sometim depress not time desir strength help
joy;ex colleagu ask interest work account bureau need clever peopl immedi thought me
fear;drive deer suddenli appear front car lot traffic behind me
anger;saw report t v new apartheid south africa
joy;girlfriend becam pregnant
fear;nearli collid anoth car
anger;time someon let air tyre cycl
sadness;read lot not rememb anyth
guilt;time put dog sleep
sadness;long ill
joy;pass exam
fear;travel tram trip fell door thought go fall out
anger;miss tram run it
sadness;inabl read book colleg
disgust;gui on not interest make advanc
shame;drink wine often
guilt;not studi enough not understand properli
joy;work lawyer s offic summer got veri good refer him
fear;watch triller dark night countri outsid toilet own
anger;accus someth not done get unbeliev angri
sadness;began read thick book limit time read also lot work cannot keep up
disgust;someon vomit street
shame;not think incid felt veri asham small incid asham of instanc not send monei children ethiopia
guilt;lunch ex boyfriend not mention fiance felt guilti despit fact felt noth ex boyfriend
joy;final qualifi profess
fear;someon attack knife
anger;someon drove car deni happen
sadness;told friend s wife cancer
disgust;saw dog knock car
shame;box child s ear
guilt;fine speed
joy;stop work had bore job
fear;go home car late on night cold dark windi becam rather panicki wai hous
anger;quarrel famili
sadness;alon room contact anyon loneli drain me
disgust;holidai someon vomit front me
shame;empti bucket water hospit
guilt;feign sick leav work
joy;get hug someon love
fear;drive veri fast small road met oncom car right hand bend driver side road skid avoid collis dark
anger;car tow awai traffic polic wrongli park howev sign put alreadi park
sadness;oper stai bed long time
disgust;forc stai canteen eat food not ask got anywai
shame;not bui promis to
guilt;mistak took book librari not suppos loan out
joy;unexpect sum monei
fear;year old daughter disappear moment inattent respons her
anger;colleagu ask advic not enough confid ask third person
sadness;want pregnant not succe depress everi menstruat
disgust;warm bu full peopl someon vomit whole bu stank
shame;complain colleagu s behaviour goe back word often absent irrespons found alcohol try fight againt addict
guilt;spoke mother phone skin cancer wait oper forgot ask date oper finish convers gave date pass
joy;parti met old friend adult educ cours not met year thought lot other wonder experi
fear;cycl park late on night two peopl jump wood tri stop me shout someth time
anger;close rel tri dissuad studi psycholog low statu
sadness;long discuss polit acquaint knowledg fail explain point view misunderstood felt depress left
disgust;read newspap articl young girl rape assault on night sever men unconsci
shame;mother reveal person detail neg aspect charact peopl present unabl defend myself
guilt;unfaith partner work abroad long period
joy;recent got appart central gottenburg
fear;saw larg spider crawl wall
anger;employ took mani aspirin bad back also drank enorm amount spirit danger not understand done anyth wrong
sadness;left new york famili friend behind me
disgust;slept gui best friend want to never intercours anyon terribl complex it
shame;date close girlfriend s boyfriend time told accept it found finish friendship
guilt;broke boyfriend three year quit unexpect particular reason break up someon els
joy;son return mountain healthi bodi soul
fear;on meet new peopl on forc collabor with
anger;sport fishermen catch gull instead fish hook often mistak make angri
sadness;feel sad event not influenc
disgust;member famili complain food serv disgust me
guilt;chosen put son privat school examin mark low everi time give term result left sens guilt
joy;inform accept student psycholog
fear;littl fish boat ran hard weather open sea
anger;found gui date particular time steadi relationship go someon els long time
sadness;felt sad depress heard cat di
disgust;work nurs mental hospit patient at content anoth patient s spitoon
shame;primari school vomit front other middl lesson
guilt;arriv hour late import meet misunderstood time
joy;accept student psycholog
fear;son pain leg for appar reason
anger;when week school teacher sent note home sai son inattent unabl lesson
sadness;thought go imposs start studi due wrong inform student advisor
disgust;certain person s lack cleanli home person
shame;made mistak accus someon els of obviou third pereson
guilt;lost someth valuabl sister
joy;son born
fear;nearli drown ici water wear ic skate difficult get out
anger;point problem child primari school mother took teacher s point view
sadness;accus neglect work wrong reason
disgust;parent attitud toward should becom reconcil despit father s long time addict
shame;caught steal monei father
guilt;stole coconut cake recept tabl put mouth realiz host watch me
joy;month nation servic downgrad not remain month
fear;reprimand manag hotel work autumn
anger;parent drove nearbi place went home immedi instead wait hour could easili wait
sadness;ex girlfriend discov certain risk pregnant
disgust;clean drain board saw look underneath sink live student hostel
shame;mother caught masturb
guilt;person famili academ ought look younger and onli sister better respect educ life experi
joy;older sister told think join rest famili winter sport holidai
fear;slept chapel middl night realiz someeon els chapel never discov there
anger;high school gui sometim provok friend mine call pig grunt irrit girl onc on girl got angri friend said someth nasti made terribl angri
sadness;talk boyfriend phone high spirit lot tell him look forward convers not listen extent anticip
disgust;mother shout child noth
shame;complain mother untidi kitchen loook box ear never happen befor
guilt;could not home midnight call home ask leav door open could get in actual woke whole famili call late mother could not back sleep besid confer next dai realli need sleep
joy;got first dai depart
fear;cycl past park car someon open door nearli push bike traffic
anger;boyfriend sat half night plai comput game friend
sadness;leav mother sister week s visit
disgust;saw big spider veri close
shame;ask friend return monei loan rememb repai sever wai
guilt;on parent insinu someth thei divorc
joy;ask child s godmoth
fear;wai ski slope difficult steep
anger;mother interf life
sadness;left alon on week end without prepar it
disgust;first time saw surgeon cut leg put black rubbish bag
shame;forgot meet work
guilt;demand much friend
joy;husband suddenli came see new job brought flower cake him
fear;nearli attackad man chase me
anger;father ask communist time made clear should longer see daughter
sadness;appli job thought good chanc get not even grant interview not get job
disgust;t v featur show violat defenceless peopl
shame;child plai doctor neighbour boi mother caught us
guilt;husband talk restrict accept life make marriag work felt direct demand chang marriag counsellor then
joy;abl afford new sofa leather on cost sek wait year
fear;vertigo stand ladder paint hous
anger;boss enrol cours satisfi end trampl associ misfortun on superior cours
sadness;argu mother wai treat two children differ
disgust;spit vomit
shame;spot seat cover husband s car
guilt;not speak sister in law due lack interest relationship side
joy;recent manag get first consult assign myself i e initi
fear;within hair s breadth knock drunkard suddenli ran street fear came later realiz could happen
anger;friend usual forgot ticket home perform miss it
sadness;elect thought social democrat communist major could achiev especi worker share fund extens
disgust;studi visit chicken factori butcheri smell environ nois
shame;confess parent involv mope theft
guilt;answer see veri littl differ shame guilt therefor see answer shame
joy;appoint posit trust group set chang work environ
fear;alon cottag often stai in woken rustl sound middl night
anger;tri explain plumber face face toilet broken not believ it mend ten time
sadness;result project work treat nonchalantli intead critic teacher
disgust;programm violenc pornographi shown t v
shame;talk malici colleagu work someon els immedi afterward felt asham
guilt;decid take week holidai without consult famili first
joy;girl talk thing relationship chang becam posit diificult time turn pleasant on
fear;could not land plane knew fuel run out bad weather alreadi frighten us
anger;read reagan s tactic decis concern south african boycott
sadness;half brother becam serious ill cancer di later
disgust;film woman attack rape on not see worst desir effect veri strong
shame;made comment interpret complet differ meant said realiz mother understood it
guilt;promis visit girlfriend differ reason could not make it rang later tell could not come
joy;offer high posit trust later accept
fear;window open door shut kitten would not out partner came start talk someth forgot window suddenli saw kitten hang window frame rigid fright till got hold her
anger;noisi guest arriv hotel slightli irrit earlier night try sleep parti went yell them want sleep get earli next dai
sadness;told not success get job expect sure suffici qualifi
disgust;cat vomit worm came still aliv forc wipe up
shame;child found taken cloth outdoor summer friend wood felt excit time parent discov trouser back front felt asham
guilt;stole monei mother ask later respons never admit it
joy;cycl spring sunshin give delight happi healthi wonder financ simpli earth
fear;relationship famili veri poor often fear exclud group fear stronger situat argument hand
anger;recent sister four year younger veri spoil shout mother appar reason heart broken express mother s face made feel veri angri
sadness;watch t v programm call the live planet saw far reach environment destruct caus man
disgust;disgust feel never experienc peopli hand repuls anim i e snake t v
shame;rel act strang unfriendli toward me
guilt;due hunger tired becam gener irrit fiance made cut remark realli hurt him later realiz unfound irrit hurt person love earth
joy;boat trip denmark lot fun spent sek on arm bandit odd jackpot sek
fear;raini dai cycl downhil car door suddenli open try avoid back wheel bike got caught tram track somersault injuri
anger;wai home marstrand drive behind father s car anoth car tri push front father forc swerv thu collid car pillar car drove without even see happen
sadness;girlfriend spent month abroad broke relationship letter
disgust;polic centr man brought in veri drunk likelihood not slept indoor long time reliev trouser
shame;custom shop work came ask good order arriv total forgotten order tri offer weak excus
guilt;year old hid bicycl kei not veri good friend hour pretend found it
joy;end of term parti last week fun happi sang drank soft drink possibl good time without alcohol
fear;last summer walk along beach bikini aw man came cycl me shout ran fast leg could carri me
anger;cours thought deserv good mark got ordinari mark justif given mark
sadness;crash car scrap then fault feel depress miss car
disgust;sort stomach viru last week vomit colleg morn cake shop three time trip home got home
shame;even school teacher job make coffe not abl get coffe readi time thu arriv half hour late class top coffe undrink
guilt;mani year ago friend want southern europ prefer travel alon felt guilti want own
joy;felt love return
fear;convinc someonn broken flat woke heard sound frighten me
anger;becam clear man us mani peopl sexual psycholog despit fact mani peopl look him understood on could not trust forc hide while
sadness;feel helpless tri help someon without result
disgust;think wai father behav file divorc
shame;year old wet school
guilt;year old stole monei mother
joy;recent got veri posit answer clinic tell would willingli assist collect data clinic pilot studi
fear;everi time meet certain dog bitten me
anger;lot provoc child threw plate floor
sadness;realiz could not commun properli closest friend
disgust;tri explain child magazin wiith nake girl kiosk
shame;stole packet cigarett neighbour next dai own return it
guilt;forc declin invit mother s birthdai work committ anoth area
joy;began dans teacher came told veri good would soon get ballet academi
fear;late saturdai night found lock central underground station stockholm group hard rocker drunk equip variou kind chain etc
anger;forc call telephon compani bill concern disconnect phone belong landlord bill four month overdu meanwhil us phone seem intent phone reconnect
sadness;whenev read think wai peopl treat anim natur
disgust;saw t v programm anim film world mistreat us
shame;year old wrote passion love letter boyfriend later found sister read them
guilt;hate on mmy flatmat nice me
joy;month old son happi well
fear;four year girl ran awai father straight front car forc us emerg brake
anger;examin satisfi with
sadness;colleagu fail contact arrang time
disgust;read racist slogan wall
shame;sweden s arm export
guilt;not someth promis
joy;gave birth healthi boi
fear;husband spent night hous area outskirt larg town not familiar heard strang nois outsid hous hous glass wall whole thing even frighten
anger;jealou husband s old girlfriend met husband lot reminisc
sadness;daughter problem friend could see predica window given cold shoulder
disgust;auxiliari nurs hospit chang nappi first time veri old sick woman
shame;friend found ly particular occas
guilt;middl child becam veri difficult handl birth babi brother not patienc him
joy;husband decid take dai holidai particularli try period
fear;hospit visit prior d c anasthesia expect miscarriag
anger;exchang point view sister famili matter
sadness;treatment becom pregnant neg result
disgust;woke on morn went kitchen discov dog diarrhoea small pile floor smell choke
shame;young not make toilet time hid dirti trouser cellar fear discov parent
guilt;work boi injur lack supervis
joy;gave birth child saw normal put breast
fear;labour foetal sound becam faint big alert forcep deliveri
anger;cash desk gone bui roll kitchen paper reduc price queu scream children turn taken two roll packet instead on roll packet rebat appli assist said you get anoth time
sadness;first heard tage dannielsson di
disgust;lift stockholm central station stank vomit urin
shame;train drunk person touch babi react veri disapprovingli felt asham later person not aggress though could been
guilt;get irrit son scream sick clean cloth
joy;high school entranc exam
fear;gang scream drunk youth captur tram
anger;unjust refre decis sport event team leader
sadness;girlfriend left me
disgust;domin certain person even though knew could not chang reaction
shame;given detent secondari school
guilt;splash child not slow drive puddl water
joy;yesterdai final whistl blew final match oi ifk certain oi swedish titl
fear;teach someon drive crash scare
anger;drummer borrow drum destroi drumskin stick not repair tell it
sadness;dad give prioriti kid brother s band activ plai differ band rehears parent garag
disgust;friend unjustli put blame reliev conscienc also spread li purpos
shame;behaviour recent parti pass earli luckili
guilt;face face deceiv friend sleep wife
joy;dive among shark brightli colour fish outer reef tvavni fidgi
fear;miss crash hair s breadth man came metr ahead drive km h
anger;told comput teacher not want teach beacaus prejudic
sadness;could not anyth bad back
disgust;discov hous hire tonga full cockroach
shame;excret mat instead potti
guilt;pull chair someon kindergarten hit head
joy;pass drive test three week ago got licenc
fear;car drive skid ici road land ditch on side rock
joy;met friend not seen last year
fear;gui chase jog
anger;morn newspap not arriv
joy;feel unbeliev happi relationship boyfriend me reoccur feel
fear;reoccur fear someth happen rel
anger;argu boyfriend feel though feel superior me
sadness;fail exam last summer work veri hard veri disappoint think hopeless continu colleg overreact
guilt;argu sister feel sometim upper hand us it often argu better make terribl angri
joy;veri happi got attract summer job
joy;birth child
fear;leav babi carriag shop fear someth happen babi
anger;winter water pipe froze not water two dai
sadness;not quit succe breast feed babi
disgust;smell garlic rush hour bu
shame;fell ground cross street cap cover ey felt quit difficult
guilt;two month old babi came here univers attend lectur leav babi father felt guilti
joy;christma holidai met old friend not seen six month
fear;drive car friend mine turn wrong direct toward unknown district nearli drove precipic
anger;religion teacher present shock sectarian thought doom s dai offici teach
sadness;grandfath di exchang student usa
disgust;happen see video tape movi thi america part on friend s place
shame;insult coupl good friend mine even tri hit drunk next dai asham cours
guilt;stole carrot got caught apolog owner
joy;underground s escal youngish bum ask monei although not give anyth fellow told realli good look man front also turn look me
fear;afraid move awai home move helsinki studi
anger;student kitchen share somebodi drank juic pot on litr got on glass whole pot
sadness;father gave monei brother not me
disgust;week end home mother fri greasi unhealthi meat dish make feel sick
shame;wear slipperi shoe tumbl place mani peopl walk by
guilt;at runeberg s cake though knew would immedi put kilo
fear;nine p m went home bike dark cycl track lack time take short cut
fear;home foot a m pass forest go alon
anger;miss train wait next two hour reason miss appoint veri import me
sadness;grandmoth di live ten year
disgust;went home train sicilia molest man
shame;li someon time later person found not told truth
guilt;declin appoint veri import person reason even got troubl
joy;person bad term gave present becam reconcil
fear;friend s father di come see friend although not know famili
anger;watch friend first film want watch anoth film channel friend switch cannel without ask want
sadness;boi friend seper initi
disgust;friend s boi friend treat veri badli let serv him provok util her
shame;li person thought could not tell truth found not angri understand talk whole thing over
guilt;told person unpleas thing bad manner veri depress caus accid
joy;consid hour abl overcom scrupl call friend fallen love realiz decis right veri glad
fear;slept short time woke feel someon stand besid veri frighten turn light turn light sever minut abl get sleep again
anger;move flat friend live befor left flat terribl mess veri angri sloppi impud
sadness;father complic oper long time also long time that not know would get it time felt veri sad
disgust;tramwai carriag stranger insult girl blew nose detest behaviour
shame;quit recent realiz erron view life instanc alwai live peopl forgotten person suppress feel asham not conciou convers person
guilt;quarrel near person said mani ill consid thing regret late
joy;summer sail friend greec felt joi
fear;ride friend car speed km h snow cover motorwai would like get out
guilt;meet male friend whose wife affair
joy;walk along beach friend anoth girl talk pick shell laugh chase seagul
fear;climb mountain see view toward top suddenli came across ledg nearli sheer drop either side cross
anger;friend suggest round about wai reason late someth me i m often late know partli true felt unjustifi particular time felt couldn t anyth anywai i e late
sadness;talk veri good friend veri bad experi chang whole wai look life etc
disgust;came across group peopl basic idea belief fight go would sai good
shame;work job could not work quickli enough told work not standard
guilt;wast time instead someth need give friend also time wast done thing not consid moral right
joy;meet old friend mine
fear;brother veri late arriv home work
anger;fight best friend
sadness;dog di
disgust;movi saw effect white settler africa
shame;got bad result on assign
guilt;leav friend mine alon danc felt should kept compani
joy;realis forgiven god there realis much god love accept not base perform love uncondition show love christ di need forgiv
fear;fear paralys would not accept god believ moral bankrupt befor becom christian realis christ came free sin forgiv us
anger;father s treatment mother disregard her not commit her
sadness;lack love father mum sad anyon els not realis much love happi could them is much damag apart mum
disgust;capabl selfishli us other sexual encount held vision deepen abov board you know girl next door devot girl head drive action not match consequ felt disgust failur
shame;us peopl sexual experi us anoth detriment both anxieti mai affect anoth worst
guilt;abov guilt not live moral expect guilt not type person patent want guilt bloodi everyth realis fail drastic ey
fear;rock climb absail felt ok suddenli go cliff hit fear couldn t absail cliff actual haul back it
anger;told boi friend not park certain place car would ger tow awai didn t listen tow awai stage financ poverti line cost monei get week includ rent
sadness;sister scholarship norwai particularli walk across tarmac get plane look back us
disgust;work part time shop assist custom spoke veri loudli indian man white woman children horribl would want littl dark children
shame;mother told uncl roman cathol priest redemptist father live de facto relationship three year veri veri angri me
guilt;snap veri abruptli mother said someth silli stupid in front peopl look defenceless hurt told i m alwai that
joy;receiv wed invit ex flatmat enclos small note overcam lot differ arisen due circumst left flat
fear;on afternoon help home properti muster get cattl bull turn came me
anger;get terribl exam mark couldn t understand reason for try see lectur tutor given runaround
sadness;watch old ladi run street catch bu miss it remind mother dread would situat
disgust;come home on night sister home drink heavili start pick argument
fear;travel car meet oncom car overtak
anger;close rel treat badli
sadness;close friend di
disgust;saw starv peopl ethiopia t v felt aw see suffer
guilt;mistak occur work not respons for disclos later
joy;call boyfriend ask would live him
fear;last summer itali attack dog it terribl feel untidi dirti dog nake skin
anger;father s new fiance treat like child not trust constantli misunderstand me get particularli angri sai nasti thing boyfriend work
sadness;gui love told met someon els would not meet year although not steadi relatioship affair
joy;love gui return
fear;think death not parent brother sister
anger;parent not approv choic boyfriend now ex boyfriend happen year older consid complet unsuit me idiot
disgust;uncl come time year tradit christma dinner grandpar rel veri drunk
guilt;live home summer vacat toward end decid take cloth belong appart guttenburg finish went ex boyfriend s relationship uncertain home stai till a m leav parent need car work morn parent not like boyfriend
joy;met present boyfriend boat trip england said would call got back sweden we not go town england soon walk call england could not wait till came home
fear;mother s heart nearli stop
anger;sofa flat belong old tenant acquaint should pick year ago postpon it eventu decid on date stai home despit fact thing do not come call still not got touch me
sadness;ex boyfriend separ
disgust;veri intox men incit fight met vile smell man tram got closer closer till got up got angri
guilt;nephew ask tell stori simpli not energi will saw disappoint terribl guilti read stori all
joy;fell love
fear;earlier afraid speak front crowd peopl
anger;girl went anoth gui
sadness;set back
disgust;work harbour empti latrin contain back lorri
shame;dai night drank much parti
joy;accept student psycholog gutttenburg
fear;woke middl night jump shout fear thought someon s cold hand someth similar touch hand crept cover went back sleep
disgust;young teenag brother in law made heavi advanc me not understand veri well react strongli feel still there
guilt;broke partner want friend not lover react veri violent felt guilti made desper unhappi
joy;made dinner friend appreci veri much
fear;nearli knock cycl
anger;father argument not help enough home
disgust;intercours someon realiz done wrong disgust me
guilt;said nasti thing not mean friend
joy;intercours
fear;disappoint friend
anger;quarrel younger brother
sadness;woke nightmar
disgust;help older peopl toilet
guilt;squeez puppi door
joy;notifi accept psycholog student
fear;motor failur boat outsid gottenburg heavi sea wind strong could not steer boat drift toward rock not succe attract attent passerbi hour elaps
anger;ladi live not bother clean went holidai live collect
sadness;heard good friend commit suicid
disgust;present found shop keeper dead shop shot shotgun close rang
shame;not rememb last felf asham not usual feel asham do
guilt;mother accus not visit enough hospit ey oper
